,CollegeID,Library_20_21,Library_19_20,Library_18_19,Lab_20_21,Lab_19_20,Lab_18_19,Workshops_20_21,Workshops_19_20,Workshops_18_19,Others_20_21,Others_19_20,Others_18_19
0,IR-E-C-1412.pdf,10614426,8604631,4481890,16891804,17413573,22997899,786898,7290962,895638,66545488,23706869,21992000
1,IR-E-U-0064.pdf,38265100,71081714,92585336,61176637,119488429,485246743,3843327,3229775,9811179,2732016,26669148,83688731
2,IR-E-C-16604.pdf,6447358,5174971,3338473,18006809,17391287,17385703,1631749,1813054,1579060,26938566,27312677,26915037
3,IR-E-U-0149.pdf,38581637,31672635,31482544,40061966,43726795,61899511,4459985,1836880,260503,23252207,48151522,9753537
4,IR-E-U-0197.pdf,28786940,9030949,39624170,75914626,18734521,76570949,1565440,132270,2582500,197556479,153878019,282435322
5,IR-E-I-1356.pdf,1700500,1975205,1807310,10935077,4055654,6969142,0,3433259,1233100,1351966,1440845,1220785
6,IR-E-I-1480.pdf,23010000,22413000,12914000,93324000,87634850,50066450,82478243,77970000,31651000,164432447,185372000,224323000
7,IR-E-U-0613.pdf,5608076,36032159,23574841,19508137,32068349,32037951,1172648,1970336,956574,7473768,8957448,956574
8,IR-E-U-0055.pdf,57246829,47342901,46367037,65280658,62812526,48793542,32404662,45377482,6153292,64697317,78650849,72526951
9,IR-E-U-0489.pdf,8423079,3471026,3647805,5298690,46292208,9982761,1779281,4626191,2817023,1779151,51695953,58925992
10,IR-E-U-0615.pdf,9028061,20327878,9000207,36932682,61706443,22284575,3641210,3036874,73304,18288883,53812434,4671905
11,IR-E-C-1400.pdf,8059394,5416148,5829313,16238145,41538273,25764702,1452325,2392520,2164432,633120,8572412,5165060
12,IR-E-U-0130.pdf,12949546,1795962,12320035,1475229,5768649,17790918,0,0,0,4826250,17099153,20166008
13,IR-E-U-0620.pdf,704732,1221843,3444544,6680646,24292862,1823680,3315249,9258097,6926253,3628365,4642331,2852358
14,IR-E-U-0011.pdf,83306274,14259999,9819252,42590085,87333241,56679203,13679605,31104012,19034878,160152300,222298171,234556233
15,IR-E-I-1093.pdf,5258235,4721680,4658734,24067696,23822960,23721495,18825525,16779065,16583033,2726687,10461598,10190930
16,IR-E-C-33777.pdf,1645442,2071483,1560209,20961666,38589320,24720529,0,0,0,32660400,48990553,27216974
17,IR-E-U-0685.pdf,9618806,7754440,4598491,14809547,14673097,4918728,916682,3477351,1989218,13539396,20077414,21647410
18,IR-E-U-0207.pdf,28778461,26297479,23257002,29185547,25695217,4437403,11489097,1410574,1037000,112747495,158655960,153700602
19,IR-E-U-0530.pdf,73849252,62794695,62952801,64827443,53816390,30284476,1548819,612879,1064302,192005514,199929673,133103968
20,IR-E-U-0108.pdf,1573399,1688878,1491435,8616000,11384319,10866691,0,0,0,0,3000000,70000
21,IR-E-C-1345.pdf,3804565,2993725,6137401,14823621,12608879,30839112,15234585,13413443,10521419,998396,11093136,1721183
22,IR-E-U-0454.pdf,5847623,16704963,20200185,22090834,48861752,30246564,5836320,2165890,3291436,47172901,34062940,81493354
23,IR-E-U-0747.pdf,33510592,30107898,29270706,246883488,180055290,194015600,12110922,28959821,30770706,479092458,431547846,537065104
24,IR-E-U-0373.pdf,2250442,4552835,3223667,20018422,25135840,13023210,7899800,6054640,1574250,183939702,100040230,50979730
25,IR-E-S-8898.pdf,28832821,19200000,13345268,28184553,16400000,284415261,0,0,0,51037025,10200000,6622973
26,IR-E-U-0163.pdf,9457590,6418895,7733146,7002250,5981778,6968208,9718954,4331584,5794459,6936060,15350784,2677559
27,IR-E-C-1269.pdf,3242963,5268361,3237270,38563952,47162212,67684043,819401,545456,441325,4635793,1630679,5319054
28,IR-E-C-16504.pdf,7119458,12020548,12018459,29606456,29505258,29406145,1756408,1747408,1746204,16356589,16256565,17245356
29,IR-E-I-1441.pdf,8720063,7927330,6085848,38131706,34665187,43543713,39951878,36319889,51199899,90729527,82481388,56801262
30,IR-E-C-24004.pdf,15875691,10865898,7031566,607248453,557324681,432106246,72954654,69934566,54742909,74581431,45261328,38167438
31,IR-E-C-19607.pdf,7998787,9866020,6297722,33601937,31894864,31093231,2036782,569291,812211,11150134,8189885,9494402
32,IR-E-C-33773.pdf,1058379,1146814,977452,4356800,1214547,9726149,0,1324621,1195420,3750168,9422473,3294242
33,IR-E-C-26794.pdf,4132607,6423279,3215787,56806348,63552788,46153834,10611119,11213198,8144794,3446449,5272226,2103903
34,IR-E-C-19582.pdf,2373261,1514817,4404133,4017298,1917500,3613890,95250,87743,113175,2211241,3520105,7086991
35,IR-E-U-0169.pdf,823400,4141426,4252178,1508019,9530602,5538702,2036226,3155253,3087824,1562582,3754778,2846015
36,IR-E-C-43708.pdf,7513324,7160023,7545590,28132791,21721891,32532859,1041137,906463,1223534,7822191,12013958,8349593
37,IR-E-U-0190.pdf,1669000,2083000,1836000,1578000,4044000,3465000,457000,345000,710000,2788000,14797000,6568000
38,IR-E-U-0555.pdf,12895000,9825000,20160000,214569000,144473488,362193000,5245500,1799460,4126980,35172850,9910060,6487200
39,IR-E-U-0619.pdf,17307424,25807725,24781951,45716428,49525405,35471799,2881725,0,0,20310423,5784343,5910206
40,IR-E-U-0147.pdf,12210085,7710020,1874140,66081848,261124370,48906039,0,0,0,118127031,58251055,36202302
41,IR-E-C-37065.pdf,10630614,11251983,4936316,19740421,16281722,13101877,5856936,7315388,10587010,20975107,6468844,9697643
42,IR-E-C-7252.pdf,37857586,38684216,25407520,30223280,74971269,48971614,29146,2274236,632593,27930653,95296117,81107370
43,IR-E-U-0020.pdf,27503769,38775711,9156522,28808653,74610702,158810454,4615440,6695514,12485790,31791848,68132918,68703367
44,IR-E-C-18886.pdf,3392122,4642155,4050971,16712182,46767173,9799768,15340,21629,327170,1162643,8149906,14653628
45,IR-E-U-0878.pdf,24805971,23966938,5601262,98685233,68480664,46920596,70160651,161056526,61730137,38274120,56195180,41182001
46,IR-E-U-0765.pdf,223679,142810,2874474,1391098,18899811,22404812,0,12050,0,39576,16047858,12356084
47,IR-E-C-36969.pdf,1750000,1957521,2544000,15550000,16267443,16219000,1745000,2049514,1848000,4815500,6516801,767000
48,IR-E-U-0439.pdf,30610828,33249961,38394013,475232888,398969397,263546923,1529555,1804639,1717822,189217003,612631706,683146404
49,IR-E-C-18010.pdf,2316999,1927576,2198733,17319660,46643860,27982515,241961,830444,982769,56300749,74884756,54357784
50,IR-E-U-0172.pdf,33357150,28219552,36977894,258022215,40082283,53810357,6196213,32901049,57728503,2373315,23760561,11223779
51,IR-E-U-0493.pdf,2035739,2157079,447000,43017211,99082095,27699000,2847900,70563879,0,3410000,186014208,129401000
52,IR-E-U-0223.pdf,10159987,11557781,11590227,3073710,15764286,44344005,2957455,5632855,7326387,61073805,72978687,111536751
53,IR-E-C-19650.pdf,2094831,2841729,2600371,14198353,6985163,5364377,1072426,1341757,2048582,17894304,15850563,10949017
54,IR-E-U-0105.pdf,17891981,17423292,13371003,22905591,13228524,26437849,52310289,42214524,53740439,44326391,50202387,476726146
55,IR-E-U-0535.pdf,8097212,11560056,6303826,201202741,102733924,34529698,26224564,6917293,633713,23926512,50433432,82197882
56,IR-E-U-0564.pdf,28544364,27408344,24381441,11695077,61163999,38817952,1492012,8610502,2616291,6484173,67802549,61898746
57,IR-E-U-0384.pdf,16244026,14009527,10378668,41842075,38865198,19496000,2271500,31942,1483650,9693460,6179204,3160310
58,IR-E-U-0621.pdf,4841890,16031509,1470437,25568485,15972685,19705635,273724,18682,0,37760258,15900428,10383147
59,IR-E-C-37064.pdf,9854778,9757206,7805765,35319775,47093034,36225411,9755572,9658983,7429987,45337882,43178936,33214566
60,IR-E-C-6379.pdf,6849000,4928000,15327000,87126000,40410000,30978000,791000,533422,279966,89593000,20533050,5876700
61,IR-E-U-0491.pdf,3886457,3586054,3454712,3166176,2270131,35163194,66044886,18519265,24671989,98427666,9356490,9082425
62,IR-E-U-0017.pdf,29146861,21546155,39342078,136642262,138608230,115549977,19543421,13067796,8150285,515436613,496006014,694899572
63,IR-E-U-0844.pdf,21959668,33844951,13490231,54316048,157875222,121257272,206665,0,20042862,78956097,116859992,201708357
64,IR-E-U-0938.pdf,3558325,12470891,17607469,35538496,76824338,51527547,0,62487,50445,11157180,10975768,14518403
65,IR-E-C-1336.pdf,4553865,5160211,4974227,17278212,12821458,9646044,2105698,2521504,256759,41782782,82393527,31580791
