,CollegeID,Salaries_20_21,Salaries_19_20,Salaries_18_19,Maintenance_20_21,Maintenance_19_20,aintenance_18_19,Seminars_20_21,Seminars_19_20,Seminars_18_19
27,IR-E-C-1269.pdf,579484024,567226829,586410159,123287161,170531143,160397049,943939,2611330,3204000
28,IR-E-C-16504.pdf,182740456,179840546,169835468,78562458,74462548,70451546,2950457,2840568,2835458
29,IR-E-I-1441.pdf,303198039,294753897,258274424,650362387,182037716,213882959,4421264,4019331,3653937
30,IR-E-C-24004.pdf,542843543,431834061,419110136,145454736,121245673,94764660,6232376,4598031,5207758
31,IR-E-C-19607.pdf,369955828,367820523,339667040,137028979,123330877,103814487,8223413,9168866,7548302
32,IR-E-C-33773.pdf,161434523,143915672,133691531,14097608,28929165,48928253,382295,124760,311441
33,IR-E-C-26794.pdf,346621356,374407002,350296419,48698656,104286385,104079276,9099428,19536305,14068997
34,IR-E-C-19582.pdf,275430747,274052813,230935997,141396660,147063887,167290618,6108235,5521173,2470672
35,IR-E-U-0169.pdf,176213712,252775820,249292602,43989332,81347067,82114171,2737897,3141424,4100248
36,IR-E-C-43708.pdf,564906485,573748349,528303886,58817292,57087936,38715097,351050,1961962,4953472
37,IR-E-U-0190.pdf,49499000,52661000,47749000,24415000,39941000,40871000,341000,1285000,1088000
38,IR-E-U-0555.pdf,362946000,300426000,242198000,762675865,445337999,421974928,6054000,2931000,1163676
39,IR-E-U-0619.pdf,173748574,201793373,141709813,963511,8697721,10427695,3200000,3224116,893643
40,IR-E-U-0147.pdf,507986314,492508189,356228354,256466117,378728886,253732722,567499,5131407,8474109
41,IR-E-C-37065.pdf,391300862,439531997,407761311,599511560,398369419,365120515,883597,3854460,4081681
42,IR-E-C-7252.pdf,917638929,975406874,947847727,424855295,543515725,498709025,3195,1994049,1745665
43,IR-E-U-0020.pdf,1034501194,1030799599,997746139,396179060,570659639,452583343,7399633,14786328,75034400
44,IR-E-C-18886.pdf,428670852,419329649,371305764,88542905,92993768,78211254,111587,4443933,2998616
45,IR-E-U-0878.pdf,238733676,201222183,116057833,64320202,54117978,28542621,981339,4160121,2662520
46,IR-E-U-0765.pdf,103145735,97125708,74027765,52425453,84026061,109060442,111825,934783,2215280
47,IR-E-C-36969.pdf,364193450,359872556,341024000,82754670,80861054,65758000,29512500,43335765,25431000
48,IR-E-U-0439.pdf,2160906943,2321533757,2082012309,329992237,386393653,348016256,3092444,7499423,16306834
49,IR-E-C-18010.pdf,315718914,300206349,319884709,32728178,52403069,50589414,4853030,4971743,2875152
50,IR-E-U-0172.pdf,911214000,989457000,963005000,364160000,371938000,332745000,2261000,1739000,4791000
51,IR-E-U-0493.pdf,408283456,355497926,318287201,328112324,373757263,361569000,1318736,4937989,1860058
52,IR-E-U-0223.pdf,448059127,367892857,283284558,101187712,71029900,36621000,1785650,8189956,7872824
53,IR-E-C-19650.pdf,271530593,249311546,237948249,100817470,100211485,61512934,1414752,1208572,1799921
54,IR-E-U-0105.pdf,396148478,305550243,252105809,308786439,341010450,274321403,34855612,40371073,35845112
55,IR-E-U-0535.pdf,184309479,152358577,121319267,103006107,49332571,35528438,1134418,3660080,6743044
56,IR-E-U-0564.pdf,911524271,1098332934,887904264,798609043,859543323,957384928,3036085,10381150,4727401
57,IR-E-U-0384.pdf,493973561,464575309,499758000,313605291,280875862,295315000,2299495,7928303,5879990
58,IR-E-U-0621.pdf,108894379,112307899,61401807,34742131,35064039,12351060,903770,1748951,2344944
59,IR-E-C-37064.pdf,297837962,291998002,224613848,328189624,326157021,241597794,31257953,29175504,21611485
60,IR-E-C-6379.pdf,519599000,468366000,339627000,285570000,411888330,229297000,7213000,2502670,14989000
61,IR-E-U-0491.pdf,99876177,97268820,96390900,35547401,31835147,31663297,1946723,1581408,1536755
62,IR-E-U-0017.pdf,1395428732,1205956341,1068449435,1062128026,1032114626,720439679,17693039,17896463,13170680
63,IR-E-U-0844.pdf,325593562,262810240,175707862,216413461,197809731,259400459,315000,2336564,1980000
64,IR-E-U-0938.pdf,768710037,723857598,667168442,534110046,482977767,369263302,4450613,4075576,2266262
65,IR-E-C-1336.pdf,291401819,281399061,249971890,60700916,79953323,80432866,7839888,12116717,9223453
66,IR-E-U-0168.pdf,164286184,135383282,178238945,61590217,69657215,22429318,1321995,834120,19657
67,IR-E-U-0334.pdf,992055714,994630332,1036555000,252572985,282133807,256418000,4603000,7310000,12125000
68,IR-E-C-18254.pdf,456252355,454311197,433488053,123169396,117576930,146337257,3043690,1504819,7234149
69,IR-E-U-0749.pdf,438901151,372655625,343751376,539247617,531560378,438744737,14257807,6468908,6603351
70,IR-E-U-0072.pdf,534092760,508923543,511089021,325481052,387283082,226158406,28276806,13305378,12883689
71,IR-E-U-0643.pdf,294862576,367844056,278065576,156334035,219861388,207992915,4185986,4433485,2127136
72,IR-E-U-0474.pdf,1162964750,1144329211,1114827500,151521115,141220326,109867250,18125000,16725174,576800
73,IR-E-U-0237.pdf,1147002412,1128163598,1080546717,1212826609,1180845586,840438104,7833901,24114955,15258744
74,IR-E-C-42227.pdf,216347348,247283013,220452464,86704384,100697266,91994255,456856,886734,786809
75,IR-E-U-0460.pdf,393476100,437433622,462632371,259573921,237309358,259269145,659028,6376046,6846914
76,IR-E-C-18817.pdf,288775334,304681673,259038304,57708226,100015936,74336014,4056967,5932477,1199990
77,IR-E-C-36975.pdf,327637838,243607871,197527782,29009340,31402174,17016144,4327045,19278798,1201434
78,IR-E-U-0614.pdf,103573619,100620537,92024167,46894632,64257829,76601065,2472610,5036813,1120020
79,IR-E-U-0774.pdf,282895109,250807288,237366058,442427308,404862520,453268358,157771,1827984,351000
80,IR-E-U-0202.pdf,699046165,695950123,711835851,135032354,150859736,130589573,331971,5416943,2210367
81,IR-E-C-27058.pdf,259627827,272439000,269700000,37928947,116323700,124979000,2521558,2141000,3839000
82,IR-E-C-16614.pdf,290010576,288353663,292823070,190212451,196941491,212406600,8870015,8165208,7296552
83,IR-E-U-0410.pdf,913797691,877216291,973790026,324218830,351128571,243675220,6174686,2825872,9297903
84,IR-E-C-6581.pdf,499683554,484165034,419263793,35346932,874500,760000,4189176,3691000,686968
85,IR-E-C-46111.pdf,328736000,333491000,290342000,98864000,164732000,167793000,776355,1462000,1165000
86,IR-E-U-0273.pdf,484268298,452195658,436593404,419015875,483857068,389597665,28332484,25566425,14962156
87,IR-E-C-16626.pdf,564789560,489423420,426987175,233221288,334114504,216831266,19671393,20873675,19363040
88,IR-E-U-0513.pdf,367674241,365051474,346429808,142025802,101611886,187081444,1626694,350200,0
89,IR-E-C-45375.pdf,129831897,128710785,108800000,52022946,44577100,39315000,2120821,10038325,16321000
